method,threshold,recall,precision,specificity,f1_score,npv,accuracy,tp,tn,fp,fn,total_deaths,deaths_caught,deaths_missed
Youden Index,0.4668678641319275,0.8496644295302014,0.5154723127035831,0.8935979971387696,0.6416624429802331,0.9780779017420239,0.8884330124664668,1266,9994,1190,224,1490,1266,224
F1 Maximum,0.7264449000358582,0.7778523489932886,0.5983479607640682,0.9304363376251789,0.6763933469506858,0.9691720219800689,0.9124980274577876,1159,10406,778,331,1490,1159,331
Target Recall 85%,0.45993149280548096,0.8496644295302014,0.5123431808984217,0.8922567954220315,0.6392325170411512,0.9780456728413212,0.8872494871390247,1266,9979,1205,224,1490,1266,224
Target Recall 80%,0.6631297469139099,0.8,0.5758454106280193,0.9214949928469242,0.6696629213483146,0.9718973972086006,0.9072116143285466,1192,10306,878,298,1490,1192,298
Cost-Sensitive (10:1),0.3424242424242424,0.8785234899328859,0.4572127139364303,0.8610515021459227,0.6014243050769584,0.9815513199469983,0.8631055704592079,1309,9630,1554,181,1490,1309,181
Current (0.5),0.5,0.8395973154362416,0.5303094531581178,0.9009298998569385,0.6500389711613406,0.9768298594280175,0.8937194255957077,1251,10076,1108,239,1490,1251,239
