method,threshold,recall,precision,specificity,f1_score,npv,accuracy,tp,tn,fp,fn,total_deaths,deaths_caught,deaths_missed
Youden Index,0.6447489261627197,0.8496644295302014,0.5,0.8868025751072961,0.6295375435106912,0.9779136265036482,0.8824364841407606,1266,9918,1266,224,1490,1266,224
F1 Maximum,0.8619526624679565,0.714765100671141,0.640408899579074,0.9465307582260372,0.6755470980019029,0.9614022341295069,0.9192835726684551,1065,10586,598,425,1490,1065,425
Target Recall 85%,0.6393728852272034,0.8496644295302014,0.49783720015729455,0.8858190271816881,0.6278204810314902,0.9778896456420887,0.8815685655673031,1266,9907,1277,224,1490,1266,224
Target Recall 80%,0.8053885102272034,0.8,0.570334928229665,0.9197067238912733,0.6659217877094972,0.9718442932728647,0.905633580558624,1192,10286,898,298,1490,1192,298
Cost-Sensitive (10:1),0.6252525252525253,0.8523489932885906,0.49320388349514566,0.8833154506437768,0.6248462484624846,0.9782156649173186,0.879674925043396,1270,9879,1305,220,1490,1270,220
Current (0.5),0.5,0.8691275167785235,0.4407760381211709,0.8530937052932761,0.5849141824751581,0.9799712407559573,0.8549786965441061,1295,9541,1643,195,1490,1295,195
