method,threshold,recall,precision,specificity,f1_score,npv,accuracy,tp,tn,fp,fn,total_deaths,deaths_caught,deaths_missed
Youden Index,0.7234152555465698,0.8436241610738255,0.5160098522167488,0.8945815450643777,0.6403464085583291,0.9772416487595234,0.888590815843459,1257,10005,1179,233,1490,1257,233
F1 Maximum,0.8686136603355408,0.7416107382550335,0.6176634991615427,0.9388412017167382,0.6739859713327234,0.9646302250803859,0.915654094997633,1105,10500,684,385,1490,1105,385
Target Recall 85%,0.6674933433532715,0.8496644295302014,0.4953051643192488,0.884656652360515,0.6258032624814631,0.9778612373986953,0.8805428436168534,1266,9894,1290,224,1490,1266,224
Target Recall 80%,0.8202052712440491,0.8,0.5684310920362422,0.9190808297567954,0.6646222470030666,0.9718256594497494,0.9050812687391511,1192,10279,905,298,1490,1192,298
Cost-Sensitive (10:1),0.6575757575757576,0.8523489932885906,0.4937791601866252,0.8835836909871244,0.6253077301821762,0.9782221342308454,0.8799116301088843,1270,9882,1302,220,1490,1270,220
Current (0.5),0.5,0.8651006711409396,0.43709732112580535,0.8515736766809728,0.580761432755125,0.9793316195372751,0.853163957708695,1289,9524,1660,201,1490,1289,201
